ir1,ir2,degree,time
13.9,4.5,3,09:36:34.572764
13.9,4.5,3,09:36:34.599968
13.6,4.4,3,09:36:34.628749
13.6,4.4,3,09:36:34.655996
13.8,4.4,3,09:36:34.683478
13.8,4.7,3,09:36:34.710928
13.9,4.7,3,09:36:34.742353
13.9,4.6,3,09:36:34.771792
13.9,4.6,3,09:36:34.801724
13.6,4.5,3,09:36:34.832240
13.6,4.5,3,09:36:34.859270
13.6,4.8,3,09:36:34.886929
13.6,4.8,3,09:36:34.914258
13.6,4.8,3,09:36:34.944268
13.6,4.8,3,09:36:34.974028
13.6,4.8,3,09:36:35.004136
13.3,4.7,3,09:36:35.034114
13.3,4.7,3,09:36:35.062169
13.2,4.7,3,09:36:35.090242
13.2,4.7,3,09:36:35.117410
13.1,4.7,3,09:36:35.147508
13.1,4.9,3,09:36:35.178421
12.9,4.9,3,09:36:35.209783
12.9,4.8,3,09:36:35.238150
12.9,4.8,3,09:36:35.265914
12.9,4.9,3,09:36:35.293964
12.9,4.9,3,09:36:35.321207
13.2,4.9,3,09:36:35.348306
13.2,5.0,3,09:36:35.376268
13.4,5.0,3,09:36:35.403846
13.4,5.0,3,09:36:35.430956
13.4,5.0,3,09:36:35.458271
13.1,5.0,3,09:36:35.486416
13.1,5.0,3,09:36:35.513683
13.0,5.0,3,09:36:35.542743
13.0,5.2,3,09:36:35.573790
12.7,5.2,3,09:36:35.605627
12.7,5.1,3,09:36:35.635534
12.7,5.1,3,09:36:35.663025
12.1,5.1,3,09:36:35.690636
12.1,5.1,3,09:36:35.718044
12.0,5.1,3,09:36:35.748335
12.0,5.3,3,09:36:35.778999
12.0,5.3,3,09:36:35.809471
12.0,5.3,3,09:36:35.838654
11.7,5.3,3,09:36:35.866010
11.7,5.3,3,09:36:35.893251
11.7,5.3,3,09:36:35.920893
11.6,5.5,3,09:36:35.952767
11.6,5.5,3,09:36:35.982943
11.6,5.4,3,09:36:36.013349
11.6,5.4,3,09:36:36.043807
11.4,5.4,3,09:36:36.071689
11.4,5.4,3,09:36:36.099026
11.3,5.4,3,09:36:36.128391
