ir_L,ir_R,degree
39.5,17.5,56.02
40.3,16.7,56.09
40.4,15.0,56.22
39.6,13.8,56.81
39.1,12.8,56.88
38.6,12.7,58.59
39.4,13.8,58.8
38.7,14.6,58.78
38.8,15.4,59.62
39.5,15.8,59.68
38.9,16.1,63.08
39.1,16.1,64.62
38.0,16.6,67.89
36.8,16.9,67.91
35.9,17.5,67.91
33.1,17.3,66.91
32.2,17.1,60.8
30.3,16.5,60.61
28.2,15.7,56.34
26.3,15.1,56.1
26.0,14.9,56.08
25.6,14.9,56.09
25.3,15.3,56.09
24.5,16.1,51.84
24.2,17.5,48.43
23.6,18.2,46.99
23.5,18.8,47.0
23.4,20.0,46.99
23.8,20.8,46.97
23.6,22.1,46.97
20.9,22.0,45.08
18.4,22.8,43.22
13.7,22.6,41.08
10.7,21.7,41.09
6.7,20.4,41.1
5.1,18.7,41.11
3.8,18.9,41.08
3.4,20.2,41.11
3.2,19.3,41.17
3.1,18.7,41.15
3.0,18.7,41.13
3.1,18.2,41.09
3.0,19.8,41.19
3.0,18.9,41.07
2.9,18.4,37.69
3.0,19.3,35.14
2.9,19.1,34.96
2.9,16.6,34.98
2.9,15.2,35.06
2.9,14.8,34.72
2.9,14.4,33.53
2.9,14.1,33.15
2.9,13.4,33.31
2.8,13.0,33.18
2.8,12.2,33.27
2.8,11.5,32.4
2.8,10.6,32.32
2.7,10.2,32.42
2.7,8.8,32.42
2.7,7.6,32.34
2.7,5.8,32.33
2.7,5.0,32.32
2.6,4.4,31.56
2.5,4.1,31.26
2.6,3.8,31.31
2.6,3.8,31.22
2.7,4.1,30.1
2.6,4.4,29.87
2.5,4.6,28.03
2.6,4.4,26.22
2.7,4.0,15.82
2.9,4.0,10.25
2.9,4.6,4.06
3.2,5.7,0.16
3.7,6.9,0.07
4.4,8.2,0.1
5.4,9.5,0.04
5.8,11.6,0.16
6.8,12.4,0.03
7.5,8.3,0.29
8.5,6.9,2.73
9.3,6.6,7.92
10.3,6.1,18.87
10.6,7.6,22.62
12.3,12.9,27.07
14.1,18.1,27.39
16.0,18.1,32.54
17.1,16.7,33.68
17.3,16.6,35.52
15.5,18.6,37.35
16.0,20.2,39.72
16.5,22.3,39.8
16.8,23.6,39.81
16.6,23.7,39.93
16.9,22.6,39.8
17.4,22.3,39.82
17.6,21.7,39.82
17.7,21.1,39.78
18.0,20.9,41.56
18.4,20.2,52.86
18.7,20.1,56.41
18.6,20.4,56.4
18.2,20.1,56.36
18.1,19.8,56.15
18.2,19.4,55.9
19.1,19.1,55.85
21.4,18.6,55.81
29.0,18.7,55.87
19.9,18.5,55.84
13.6,18.3,55.9
12.1,18.1,55.79
9.3,18.1,55.81
7.7,17.9,55.8
5.8,17.8,52.83
4.8,17.4,52.7
3.8,17.1,48.39
3.3,17.0,47.61
2.9,16.9,39.87
2.8,17.6,39.23
2.6,18.3,38.53
2.7,18.0,36.66
2.5,17.0,33.92
2.5,16.1,29.8
2.6,14.3,29.71
2.6,13.3,26.65
2.5,11.7,24.06
2.5,11.0,21.54
2.5,9.5,19.77
2.6,8.4,19.72
2.8,7.1,19.63
2.9,6.4,19.65
2.9,5.2,19.62
